全部A股-年度,公司数,营业总收入(亿元),净利润(亿元),归母净利润(亿元),总营收同比%,净利润同比%,归母净利同比%,户均营收(亿元)
2016-12,3835,336198.3,31720.6,29380.0,,,,87.67
2017-12,4605,408429.4,38758.1,36024.4,21.48,22.19,22.62,88.69
2018-12,5017,479224.0,42170.7,38951.2,17.33,8.8,8.12,95.52
2019-12,5306,528500.4,45932.8,42317.1,10.28,8.92,8.64,99.6
2020-12,5442,551407.5,47266.3,43505.2,4.33,2.9,2.81,101.32
2021-12,5471,665762.4,57254.4,52691.1,20.74,21.13,21.11,121.69
2022-12,5528,717643.5,58668.3,54210.0,7.79,2.47,2.88,129.82
2023-12,5528,724535.4,58069.5,53753.3,0.96,-1.02,-0.84,131.07
2024-12,5528,719729.7,56392.0,52607.0,-0.66,-2.89,-2.13,130.2
2025-12,5526,728816.2,57601.3,53972.3,1.26,2.14,2.6,131.89
