剔除银行-年度,公司数,营业总收入(亿元),净利润(亿元),归母净利润(亿元),总营收同比%,净利润同比%,归母净利同比%,户均营收(亿元)
2016-12,3796,295397.5,17389.0,15297.0,,,,77.82
2017-12,4564,365887.7,23595.6,21062.2,23.86,35.69,37.69,80.17
2018-12,4975,432896.6,26164.6,23128.4,18.31,10.89,9.81,87.01
2019-12,5264,477448.9,28745.2,25393.8,10.29,9.86,9.79,90.7
2020-12,5400,497559.1,29978.0,26470.3,4.21,4.29,4.24,92.14
2021-12,5429,607644.6,37820.9,33503.0,22.13,26.16,26.57,111.93
2022-12,5486,659114.0,37836.6,33564.6,8.47,0.04,0.18,120.14
2023-12,5486,668068.2,36865.9,32804.7,1.36,-2.57,-2.26,121.78
2024-12,5486,663217.7,34686.6,31166.3,-0.73,-5.91,-4.99,120.89
2025-12,5484,671526.9,35567.2,32223.2,1.25,2.54,3.39,122.45
