全部A股-半年度,公司数,营业总收入(亿元),净利润(亿元),归母净利润(亿元),总营收同比%,净利润同比%,归母净利同比%,户均营收(亿元)
2016-06,2884,142371.0,14799.4,13710.7,,,,49.37
2017-06,3266,175799.7,17714.6,16528.5,23.48,19.7,20.55,53.83
2018-06,3374,202242.8,20869.4,19351.6,15.04,17.81,17.08,59.94
2019-06,3747,233153.6,24119.9,22272.5,15.28,15.58,15.09,62.22
2020-06,4504,235240.0,20835.6,19242.8,0.89,-13.62,-13.6,52.23
2021-06,4984,313170.2,31548.0,28973.2,33.13,51.41,50.57,62.84
2022-06,5293,346620.4,33125.1,30650.0,10.68,5.0,5.79,65.49
2023-06,5360,352211.6,32085.3,29699.1,1.61,-3.14,-3.1,65.71
2024-06,5432,348364.7,31448.4,29199.5,-1.09,-1.99,-1.68,64.13
2025-06,5522,349345.8,32097.6,29879.1,0.28,2.06,2.33,63.26
2026-06,5552,376817.1,38688.2,35766.6,7.86,20.53,19.7,67.87
