剔除银行-半年度,公司数,营业总收入(亿元),净利润(亿元),归母净利润(亿元),总营收同比%,净利润同比%,归母净利同比%,户均营收(亿元)
2016-06,2860,122700.3,7322.5,6400.6,,,,42.9
2017-06,3239,156149.7,9844.4,8761.9,27.26,34.44,36.89,48.21
2018-06,3343,181175.0,12430.8,11006.2,16.03,26.27,25.61,54.2
2019-06,3710,207512.2,14527.5,12817.2,14.54,16.87,16.45,55.93
2020-06,4466,207931.2,12113.6,10653.7,0.2,-16.62,-16.88,46.56
2021-06,4942,284029.7,21636.6,19193.7,36.6,78.61,80.16,57.47
2022-06,5251,316056.8,22508.0,20133.2,11.28,4.03,4.89,60.19
2023-06,5318,322695.7,21061.7,18824.7,2.1,-6.43,-6.5,60.68
2024-06,5390,319425.0,20385.3,18285.0,-1.01,-3.21,-2.87,59.26
2025-06,5480,320103.8,20944.5,18877.7,0.21,2.74,3.24,58.41
2026-06,5510,345406.6,27156.3,24439.4,7.9,29.66,29.46,62.69
